gage,threshold,wet_DateTime,q,rewetting_event,weting_subevent,inital_rewetting_rate,p_value_i,rewetting_rate,p_value,sample_rate
8052700,0.25,1995-07-21T13:00:00Z,0.1,140,1,0.07146283754207129,0.38149236914591256,0.03882854471710012,0.14079601858661328,0.25
8052700,0.25,1995-07-22T15:45:00Z,0.4,140,2,0.07146283754207129,0.38149236914591256,0.03882854471710012,0.14079601858661328,0.25
8052700,0.25,1995-08-01T02:45:00Z,0,141,0,0.08008612192831918,0.3178364065623185,0.08008612192831918,0.3178364065623185,0.25
8052700,0.25,1995-08-01T09:45:00Z,1.8,141,1,0.08008612192831918,0.3178364065623185,0.08008612192831918,0.3178364065623185,0.25
8052700,0.25,1995-09-18T04:30:00Z,0,142,0,0.02895748490315843,0.5474897372364611,0.02895748490315843,0.5474897372364611,0.25
8052700,0.25,1995-09-18T19:00:00Z,1,142,1,0.02895748490315843,0.5474897372364611,0.02895748490315843,0.5474897372364611,0.25
8052700,0.25,1995-09-25T12:45:00Z,0,143,0,0.04830994287673502,0.48834200380357806,0.04830994287673502,0.48834200380357806,0.25
8052700,0.25,1995-09-25T21:15:00Z,0.4,143,1,0.04830994287673502,0.48834200380357806,0.04830994287673502,0.48834200380357806,0.25
8052700,0.25,1995-10-02T18:15:00Z,0,144,0,0.03339905713032053,0.46445826633570164,0.03339905713032053,0.46445826633570164,0.25
8052700,0.25,1995-10-03T06:45:00Z,0.4,144,1,0.03339905713032053,0.46445826633570164,0.03339905713032053,0.46445826633570164,0.25
8052700,0.25,1995-11-02T21:30:00Z,0,145,0,0.02630848029600679,0.5137482174180357,0.02630848029600679,0.5137482174180357,0.25
8052700,0.25,1995-11-03T12:00:00Z,0.6,145,1,0.02630848029600679,0.5137482174180357,0.02630848029600679,0.5137482174180357,0.25
8052700,0.25,1995-12-02T23:45:00Z,0,146,0,0.05359712815655439,0.36387811721820307,0.0014669919722124349,0.9450018307553918,0.25
8052700,0.25,1995-12-03T09:00:00Z,0.1,146,1,0.05359712815655439,0.36387811721820307,0.0014669919722124349,0.9450018307553918,0.25
8052700,0.25,1995-12-03T19:30:00Z,0.2,146,2,0.05359712815655439,0.36387811721820307,0.0014669919722124349,0.9450018307553918,0.25
8052700,0.25,1995-12-04T19:45:00Z,0.1,146,3,0.05359712815655439,0.36387811721820307,0.0014669919722124349,0.9450018307553918,0.25
8052700,0.25,1995-12-05T20:30:00Z,0.2,146,4,0.05359712815655439,0.36387811721820307,0.0014669919722124349,0.9450018307553918,0.25
8052700,0.25,1995-12-29T10:15:00Z,0,147,0,0.07146283754207129,0.38149236914591256,0.021642930600931132,0.3476120650595603,0.25
8052700,0.25,1995-12-29T17:00:00Z,0.1,147,1,0.07146283754207129,0.38149236914591256,0.021642930600931132,0.3476120650595603,0.25
8052700,0.25,1995-12-30T09:30:00Z,0.2,147,2,0.07146283754207129,0.38149236914591256,0.021642930600931132,0.3476120650595603,0.25
8052700,0.25,1995-12-31T02:15:00Z,0.3,147,3,0.07146283754207129,0.38149236914591256,0.021642930600931132,0.3476120650595603,0.25
8052700,0.25,1996-02-09T09:30:00Z,0,148,0,0.042877702525242964,0.2693485645391554,0.005157304187624869,0.6576532468554848,0.25
8052700,0.25,1996-02-09T23:30:00Z,0.1,148,1,0.042877702525242964,0.2693485645391554,0.005157304187624869,0.6576532468554848,0.25
8052700,0.25,1996-02-13T02:15:00Z,0.1,148,2,0.042877702525242964,0.2693485645391554,0.005157304187624869,0.6576532468554848,0.25
8052700,0.25,1996-02-13T20:15:00Z,0.2,148,3,0.042877702525242964,0.2693485645391554,0.005157304187624869,0.6576532468554848,0.25
8052700,0.25,1996-03-09T10:00:00Z,0,149,0,0.10719425631310883,0.42042093076855713,0.06609276882531977,0.382256930449836,0.25
8052700,0.25,1996-03-09T14:15:00Z,0.1,149,1,0.10719425631310883,0.42042093076855713,0.06609276882531977,0.382256930449836,0.25
8052700,0.25,1996-03-09T19:30:00Z,0.2,149,2,0.10719425631310883,0.42042093076855713,0.06609276882531977,0.382256930449836,0.25
